lam,a,b,distribution,gamma1,abs_gamma1,gamma2,neg_density,envelope,p_true_-2.0,err_edge_-2.0,err_sad_-2.0,p_true_-2.33,err_edge_-2.33,err_sad_-2.33,p_true_-3.0,err_edge_-3.0,err_sad_-3.0,p_true_-3.5,err_edge_-3.5,err_sad_-3.5,es_relerr_edge,es_relerr_sad
-1.0,3.0,0.0,Generalised Hyperbolic,0.0,0.0,1.0085216607739733,False,inside,0.025443638747169758,0.0018440814688988234,0.003222810933627966,0.013809088348650966,0.0023786062085353436,0.0016016365656996694,0.003910097557018332,0.0007920118151414227,2.5371512206923304e-05,0.001516436726042389,9.656324678555925e-05,0.00020956884467977408,1.4159125004024502,0.4335466187833369
-1.0,3.0,0.2,Generalised Hyperbolic,0.10847719813634205,0.10847719813634205,1.027761900666012,False,inside,0.023491679112242644,0.0007953813044407586,0.00314033989665723,0.012333987861709852,0.0017587876340432827,0.0016969019187446435,0.003247996027869483,0.0008900974417672325,0.00018391022649779515,0.0011904380801892908,9.583309512135093e-05,8.836569298658324e-05,2.6733227373850976,0.6532931894324192
-1.0,3.0,0.5,Generalised Hyperbolic,0.2733604290582693,0.2733604290582693,1.1307630130105162,False,inside,0.020424531533366166,0.0009749453574767544,0.003468319627241416,0.010126059991301502,0.0008637275190229738,0.0021617751428387646,0.0023526982638647853,0.0012231983129335064,0.0005124499798099995,0.0007824198003333542,0.00046898787139030987,0.0001064633551765544,4.953590694201362,2.9782706114609914
-0.5,1.5,-0.5,Generalised Hyperbolic,-0.8408964152537319,0.8408964152537319,3.0641293851417064,True,outside,0.03655282963958673,0.013139638356469828,0.010745895957977453,0.024239222494760543,0.015225277679667762,0.0060317129451644275,0.010749906424697555,0.006537224092114078,0.000801848953810514,0.005956258930259208,0.0005361885218597342,0.000585786935421594,5.685284007793925,5.240455015221343
-0.5,1.5,-0.2,Generalised Hyperbolic,-0.32806652837406347,0.32806652837406347,2.1615219113748187,False,inside,0.03097497890644459,0.008903958771586073,0.007570230830142851,0.019285193466457417,0.009583449758998164,0.003915183121127222,0.0075098995686433394,0.0030824870685743945,0.00020414945496846464,0.003774934316070617,0.00026659434589051565,0.0005718360984928966,2.2272749062702015,3.3734509343542025
-0.5,1.5,0.0,Generalised Hyperbolic,0.0,0.0,2.0000000000000604,False,inside,0.026684142470637686,0.005064483896406482,0.006409374367469748,0.015769997415110926,0.006596110406938426,0.0033574485832363436,0.005518174178887144,0.0024794964706501606,0.0003050708465924621,0.0025612981439349265,2.5756122776209815e-05,0.00030701609535783905,1.5728365654129008,1.1541693749080204
-0.5,1.5,0.2,Generalised Hyperbolic,0.32806652837406347,0.32806652837406347,2.1615219113748187,False,inside,0.021953372057892464,0.00021293667259629154,0.006517147968434188,0.01216058982280578,0.003909055966223396,0.0037985396766199424,0.0037283590051367136,0.0029868513046553994,0.0008385073176568189,0.0015689585254385963,0.0008657640117323137,0.00011964865085615714,8.225481418205892,2.852527647232022
-0.5,1.5,0.5,Generalised Hyperbolic,0.8408964152537319,0.8408964152537319,3.0641293851417064,True,outside,0.014194732693175479,0.009903074894143047,0.010265841539591534,0.006858284243216611,0.00020002954733055415,0.006770886877022266,0.001594989172482969,0.005754206830871026,0.002302399452469703,0.0005476000969167238,0.0031929632930099224,0.0009052853027858618,50.73309422507688,15.328159458964874
-0.5,2.0,-0.5,Generalised Hyperbolic,-0.5389561679446272,0.5389561679446272,1.9364916731037125,False,inside,0.033784571901897625,0.008306957370034299,0.007051216043469477,0.021234500862449216,0.008810708264664933,0.0035991648818283657,0.008350621112361453,0.002942551702894919,7.223760479201959e-05,0.004202629456477627,0.0002839783849463307,0.0006564108406707228,3.073242464571756,3.8663384486082797
-0.5,2.0,-0.2,Generalised Hyperbolic,-0.21266570406782734,0.21266570406782734,1.5678589918043722,False,inside,0.029410283614086475,0.005524588647100096,0.005413731428495678,0.017511254490948144,0.005930708431935477,0.002648046722703315,0.00614461187449139,0.00172345021634095,2.545806692897789e-05,0.0028357087944627483,0.00032773485374817946,0.00048387571685878624,0.7121960255649478,2.380833611774255
