gamma_2,gamma_1_star
2.205,0.6787268444895744
2.2287500000000002,0.6795227900147438
2.2525,0.6802628561854362
2.27625,0.680946595966816
2.3,0.681573711335659
2.32375,0.6821435317397118
2.3475,0.6826557591557503
2.37125,0.6831096485257149
2.395,0.6835047528147697
2.41875,0.6838403269648552
2.4425,0.6841157004237175
2.46625,0.6843302026391029
2.49,0.6844828650355339
2.51375,0.6845730170607567
2.5374999999999996,0.6845996156334877
2.5612500000000002,0.6845617666840553
2.585,0.684458427131176
2.6087499999999997,0.6842884793877602
2.6325000000000003,0.6840507313609123
2.65625,0.683743990957737
2.6799999999999997,0.6833669170737267
2.7037500000000003,0.682918019592762
2.7275,0.6823958829045296
2.7512499999999998,0.6817988678812981
2.7750000000000004,0.6811253353953362
2.79875,0.6803734973073006
2.8225,0.6795413419604301
2.8462500000000004,0.6786268576979637
2.87,0.6776278838515282
2.89375,0.6765421107411385
2.9175000000000004,0.6753670051693916
2.94125,0.6741000339388847
2.965,0.672738291323185
2.9887500000000005,0.6712787970900536
3.0125,0.6697183474898338
3.03625,0.6680533662438393
3.0600000000000005,0.6662803515791893
3.08375,0.6643951311707497
3.1075,0.6623935326933861
3.1312499999999996,0.6602709367871284
3.1550000000000002,0.6580222770571709
3.17875,0.6556422635912895
3.2024999999999997,0.6531250104308128
3.2262500000000003,0.6504642590880394
3.25,0.6476530060172081
3.2737499999999997,0.644683949649334
3.2975000000000003,0.6415487453341484
3.32125,0.6382384523749352
3.3449999999999998,0.6347432360053062
3.3687500000000004,0.6310522928833961
3.3925,0.6271534785628319
3.41625,0.6230336055159569
3.4400000000000004,0.6186777725815773
3.46375,0.614069364964962
3.4875,0.6091897562146187
3.5112500000000004,0.604017861187458
3.535,0.598529763519764
3.55875,0.5926981940865517
3.5825000000000005,0.5864916369318962
3.60625,0.5798737332224846
3.63,0.5728018656373024
3.6537500000000005,0.5652259662747383
3.6775,0.557086281478405
3.70125,0.5483106896281242
3.7249999999999996,0.5388111993670464
3.7487500000000002,0.5284784361720085
3.7725,0.5171739682555199
3.7962499999999997,0.5047187581658363
3.8200000000000003,0.4908745363354683
3.84375,0.4753139987587929
3.8674999999999997,0.4575669392943382
3.8912500000000003,0.4369192197918892
3.915,0.4121970012784004
3.9387499999999998,0.38123030215501785
