pi_up,pi_down,delta_up,delta_down,distribution,gamma1,abs_gamma1,gamma2,neg_density,envelope,p_true_-2.0,err_edge_-2.0,err_sad_-2.0,p_true_-2.33,err_edge_-2.33,err_sad_-2.33,p_true_-3.0,err_edge_-3.0,err_sad_-3.0,p_true_-3.5,err_edge_-3.5,err_sad_-3.5,es_relerr_edge,es_relerr_sad
0.01,0.01,5.0,3.0,Two-sided jump,0.6152975145652166,0.6152975145652166,3.6799503269958826,True,outside,0.030626720475625858,0.012297306158439034,0.014371389789246503,0.017116859039641153,0.0005266506057310973,0.011715045803393213,0.006273035089465818,0.009311707027709736,0.0048872023284066216,0.0032825213956489446,0.006442658780226651,0.0020115729966348537,20.1984418729646,10.662060272397591
0.01,0.01,5.0,5.0,Two-sided jump,0.0,0.0,5.207961879621033,True,outside,0.03218631534510478,0.006707242150210263,0.03615321542963663,0.01956944829585185,0.025729608998431564,0.028547147592513453,0.01099794374431685,0.027692732635869095,0.011830778791060748,0.009466631730708929,0.014029943340643608,0.003260020399242511,10.195097434593855,10.511208802865225
0.01,0.01,5.0,7.0,Two-sided jump,-0.927406848822261,0.927406848822261,9.386689940616195,True,outside,0.03224740148457254,0.002489673796967882,0.06616428880222017,0.019643059444257045,0.04085471742477141,0.05587857315157443,0.011238587040899658,0.06974038200186071,0.031998859407699115,0.010132377452607153,0.05282278124594985,0.01788944163719057,412.66004361455754,19.199761287340845
0.01,0.01,7.0,3.0,Two-sided jump,1.552238642345676,1.552238642345676,9.326573777540814,True,outside,0.03062671730858766,0.03062671730858766,0.027476923257343036,0.017116858294105565,0.017116858294105565,0.02407936932128034,0.006273035060800783,0.01611939323327221,0.013765249858498994,0.0032825213937499914,0.0253519609301717,0.008191101983743176,521.8108757672863,32.60793238884843
0.01,0.01,7.0,5.0,Two-sided jump,0.927406848822261,0.927406848822261,9.386689940616195,True,outside,0.03218404349902147,0.03218404349902147,0.0420054559253033,0.0195684587338415,0.010869353723787204,0.03501968937358751,0.010997808783178839,0.031465086626725355,0.017687429539966753,0.009466608469699982,0.030237986757985537,0.00796334964017589,383.3574548487452,1.1492009746278578
0.01,0.01,7.0,7.0,Two-sided jump,0.0,0.0,11.519713954138362,True,outside,0.03219967649775468,0.03219967649775468,0.0674786250116909,0.019606979753705886,0.009257539518228053,0.0578423308495193,0.01122285650530967,0.07044126142344506,0.03445087156748211,0.010125719995388171,0.06480210420125,0.020240957195651985,535.1110233183806,15.828748573431506
0.01,0.02,3.0,3.0,Two-sided jump,-0.17285405181981459,0.17285405181981459,1.3457249458746319,False,inside,0.03873535682385564,0.006518733611758552,0.011235886365545504,0.024431652880968397,0.00682360262351003,0.0064914901320577215,0.011209941059562401,0.0021414863081521737,0.000370565375456669,0.006334786525464182,0.0005690911104884681,0.0016646972152599545,3.548227139191038,5.211420293566088
0.01,0.02,3.0,5.0,Two-sided jump,-1.053274074085144,1.053274074085144,4.63741876408262,True,outside,0.04194545284428259,0.017483389939933508,0.04885468171438049,0.02940701165047141,0.02904954251643914,0.037392037654499985,0.02069094951816842,0.029292761124738113,0.014012419787924727,0.01871627558800422,0.01630453836976028,0.002013430950990859,15.114875127197301,13.167906107215696
0.01,0.02,3.0,7.0,Two-sided jump,-2.110349736972984,2.110349736972984,10.065506234718528,True,outside,0.04206762512321811,0.012941535943187428,0.08834439164129759,0.029598442633609306,0.006166686764907212,0.07513064637719802,0.02127731293858149,0.04468233760282327,0.04477517234344822,0.020159383169363734,0.05644305414114108,0.026025867957438414,20.994578136425876,14.70912577568089
0.01,0.02,5.0,3.0,Two-sided jump,0.4147592967308997,0.4147592967308997,3.5614757313793723,False,inside,0.03873081032254152,0.010655950222014314,0.015333899621053929,0.024429673275708556,0.0011025961564544023,0.011225816170543575,0.011209671127617837,0.008795398690345079,0.00345009214110676,0.00633474000305272,0.005950267367062579,0.0009501608687171904,9.625163331407988,3.500372025138328
0.01,0.02,5.0,5.0,Two-sided jump,-0.4974298205657823,0.4974298205657823,5.508406397184411,True,outside,0.04185000006149936,0.0026085281502597896,0.04915576177605269,0.029334851788129942,0.023807704715890745,0.03813761568185167,0.020659488437319903,0.033920939061277744,0.015097249539195338,0.018702960673172685,0.02128665941012108,0.0030464374016011923,13.295345638967067,11.330663566238862
0.01,0.02,5.0,7.0,Two-sided jump,-1.5975574898763043,1.5975574898763043,9.712221196587139,True,outside,0.04197217234043488,0.0251375664391784,0.08813040868657038,0.029482074084940336,0.005393455874449039,0.07512439483617378,0.021140775030485517,0.051842515918868556,0.045035417950428244,0.020034452116969134,0.06057428983859972,0.02636588736044704,20.28644138515301,14.240341398401943
0.01,0.02,7.0,3.0,Two-sided jump,1.316620773257425,1.316620773257425,8.606469225830889,True,outside,0.03873080398847792,0.03873080398847792,0.02597535227973359,0.024429671784638524,0.024429671784638524,0.021913547463650426,0.011209671070287773,0.01229907281104892,0.011801653748983319,0.006334739999254813,0.022648683358863123,0.00704687572451175,407.3042609686468,20.87629738676519
0.01,0.02,7.0,5.0,Two-sided jump,0.3515369248532337,0.3515369248532337,8.502229636089458,True,outside,0.04184545636934555,0.04184545636934555,0.05141782708372671,0.029332872664110398,0.009603137150137765,0.041398924668235526,0.020659218515043886,0.03337701185314712,0.018922047049508655,0.01870291415115479,0.03297651195371222,0.006535459509340837,384.67976465098513,5.553135719997242
0.01,0.02,7.0,7.0,Two-sided jump,-0.8174320160446603,0.8174320160446603,10.68199594839553,True,outside,0.04187672236681196,0.04187672236681196,0.08799621160337474,0.029409914703839166,0.019567302268846145,0.07547811844473903,0.02110931395930555,0.052995729138274,0.045989598732177915,0.02002113720253117,0.06913978004197173,0.02749904512410999,539.742459114662,12.428540915349872
0.02,0.005,3.0,3.0,Two-sided jump,0.27792179245017523,0.27792179245017523,1.2015573182736072,False,inside,0.026308523635966488,0.0005200061988239087,0.005956096753163234,0.013325478676546978,0.0018443289036469412,0.004775439407119346,0.003766420580078761,0.0020168195046215997,0.0013622203551036985,0.0017386938184319638,0.0007949313656448896,0.00012774234141126983,6.260156804510918,3.896245143981281
0.02,0.005,3.0,5.0,Two-sided jump,-0.07254489655729127,0.07254489655729127,2.610766942466884,False,inside,0.027127044866680827,0.015029803383373869,0.023077035340217197,0.01457497639756036,0.01989625231806667,0.017900506920111105,0.006120675469122666,0.012277389291658516,0.006593862972608058,0.004806162049676205,0.0038009007532426933,0.0012396557898015801,0.8103033011254583,2.9179106274734314
0.02,0.005,3.0,7.0,Two-sided jump,-0.6980041079553082,0.6980041079553082,6.440247339857922,True,outside,0.02718138294924829,0.027302742065319994,0.04670031205654131,0.014651736607384268,0.04906163847516226,0.03874208818038905,0.00630026487579747,0.04450508367676604,0.020492723647263355,0.0051948429794068515,0.024215513758311658,0.010417891504902743,7.066749296124913,3.593729243934042
0.02,0.005,5.0,3.0,Two-sided jump,1.1670616534234344,1.1670616534234344,4.754906856282323,True,outside,0.026306246085555044,0.026306246085555044,0.017854635588822988,0.013324488137323034,0.013324488137323034,0.015782135558719285,0.0037662855993076732,0.005572151806646708,0.008297857504520407,0.0017386705566238326,0.010603682746306417,0.004335032191409492,48.801020382616194,26.482572049552633
0.02,0.005,5.0,5.0,Two-sided jump,0.846504113505675,0.846504113505675,5.30501301805231,True,outside,0.02707931417553483,0.02100942473721075,0.028619849296271635,0.0145388957297956,0.0033801713786381863,0.023811965471954827,0.006104944913899601,0.014878673524120938,0.011323930710868934,0.00479950459165804,0.013191195216805228,0.00462562133908768,18.19329058063402,7.631140231492848
0.02,0.005,5.0,7.0,Two-sided jump,0.2902605756385253,0.2902605756385253,7.451097199168377,True,outside,0.027133652258102298,0.008414600490925465,0.048240668004503384,0.01459355159645576,0.02347757631166825,0.040812998459385005,0.00623199590695068,0.04377096063452405,0.02273529978571858,0.005132377452607152,0.03215594556106269,0.012361856044075,341.6847216024603,0.7074283603815416
0.02,0.005,7.0,3.0,Two-sided jump,2.226132074490293,2.226132074490293,10.425064801278126,True,outside,0.026306242918504048,0.026306242918504048,0.03511433891351333,0.013324487391786292,0.013324487391786292,0.031777342503594645,0.003766285570642632,0.003766285570642632,0.01994979160466479,0.0017386705547248794,0.011840230941215018,0.012731464582598735,936.9658854682284,58.35711455863578
0.02,0.005,7.0,5.0,Two-sided jump,1.9395123292898266,1.9395123292898266,10.248277032671849,True,outside,0.02707704232943873,0.02707704232943873,0.04117102986040546,0.014537906167784104,0.014537906167784104,0.03621928221795779,0.006104809952761583,0.006104809952761583,0.021293674577144674,0.004799481330649092,0.013392440680643825,0.012253492116674553,622.7367212914982,28.10487727539283
0.02,0.005,7.0,7.0,Two-sided jump,1.4559642346101938,1.4559642346101938,10.932394605141086,True,outside,0.027085927271271647,0.027085927271271647,0.05439007770613626,0.01455747190590345,0.01455747190590345,0.04766925261194858,0.006216265371360685,0.007488410816720542,0.029280376544124104,0.00512571999538817,0.030866786314885993,0.017923636596350455,498.7049123621865,11.856170689134583
0.02,0.01,3.0,3.0,Two-sided jump,0.17285405181981456,0.17285405181981456,1.3457249458746314,False,inside,0.030321912229685933,0.0017846994379462737,0.008254070406860697,0.01694594232298533,0.0035936876987713237,0.005721520552724173,0.006209941069428278,0.002171667722370838,0.0009074944200202616,0.003249411138605913,0.0004088987006259058,0.0004344143526944372,2.573944904856701,0.3602288543958623
0.02,0.01,3.0,5.0,Two-sided jump,-0.4147592967308997,0.4147592967308997,3.5614757313793723,False,inside,0.03195895469111461,0.020358622271482364,0.034247177150452376,0.01944493776501209,0.028950179924904368,0.02633148420318348,0.010918450847516088,0.02109046757419336,0.009849632209416304,0.009384347601094396,0.008172392171953003,0.001744270307289521,13.67006598790574,13.533136167861365
